year,month,nino34_anom,oni
1950,1,-1.99,-1.8399999999999999
1950,2,-1.69,-1.7
1950,3,-1.42,-1.5499999999999998
1950,4,-1.54,-1.57
1950,5,-1.75,-1.5200000000000002
1950,6,-1.27,-1.3433333333333335
1950,7,-1.01,-1.0833333333333333
1950,8,-0.97,-0.9866666666666667
1950,9,-0.98,-0.9933333333333333
1950,10,-1.03,-1.0799999999999998
1950,11,-1.23,-1.19
1950,12,-1.31,-1.28
1951,1,-1.3,-1.2166666666666668
1951,2,-1.04,-0.9066666666666667
1951,3,-0.38,-0.55
1951,4,-0.23,-0.20666666666666667
1951,5,-0.01,-0.08
1951,6,0.0,0.09666666666666666
1951,7,0.3,0.15666666666666665
1951,8,0.17,0.32666666666666666
1951,9,0.51,0.38999999999999996
1951,10,0.49,0.5166666666666667
1951,11,0.55,0.45
1951,12,0.31,0.33
1952,1,0.13,0.14333333333333334
1952,2,-0.01,0.003333333333333336
1952,3,-0.11,-0.04666666666666666
1952,4,-0.02,-0.09000000000000001
1952,5,-0.14,-0.23333333333333336
1952,6,-0.54,-0.48
1952,7,-0.76,-0.6200000000000001
1952,8,-0.56,-0.56
1952,9,-0.36,-0.46
1952,10,-0.46,-0.5333333333333333
1952,11,-0.78,-0.5433333333333334
1952,12,-0.39,-0.3233333333333333
1953,1,0.2,0.016666666666666663
1953,2,0.24,0.24333333333333332
1953,3,0.29,0.25
1953,4,0.22,0.2866666666666667
1953,5,0.35,0.32
1953,6,0.39,0.29333333333333333
1953,7,0.14,0.20666666666666667
1953,8,0.09,0.17333333333333334
1953,9,0.29,0.18000000000000002
1953,10,0.16,0.21
1953,11,0.18,0.25
1953,12,0.41,0.34
1954,1,0.43,0.37333333333333335
1954,2,0.28,0.11
1954,3,-0.38,-0.42333333333333334
1954,4,-1.17,-0.7866666666666667
1954,5,-0.81,-0.9700000000000001
1954,6,-0.93,-0.9733333333333335
1954,7,-1.18,-1.18
1954,8,-1.43,-1.4033333333333333
1954,9,-1.6,-1.5033333333333336
1954,10,-1.48,-1.4033333333333335
1954,11,-1.13,-1.3133333333333335
1954,12,-1.33,-1.1300000000000001
1955,1,-0.93,-1.0700000000000003
1955,2,-0.95,-0.9800000000000001
1955,3,-1.06,-1.0766666666666669
1955,4,-1.22,-1.1866666666666668
1955,5,-1.28,-1.2266666666666668
1955,6,-1.18,-1.2033333333333336
1955,7,-1.15,-1.2266666666666668
1955,8,-1.35,-1.3100000000000003
1955,9,-1.43,-1.696666666666667
1955,10,-2.31,-2.063333333333334
1955,11,-2.45,-2.2633333333333336
1955,12,-2.03,-1.8933333333333335
1956,1,-1.2,-1.406666666666667
1956,2,-0.99,-1.006666666666667
1956,3,-0.83,-0.9300000000000003
1956,4,-0.97,-0.866666666666667
1956,5,-0.8,-0.896666666666667
1956,6,-0.92,-0.9266666666666671
1956,7,-1.06,-1.0500000000000003
1956,8,-1.17,-1.0700000000000003
1956,9,-0.98,-1.0400000000000003
1956,10,-0.97,-1.0300000000000002
1956,11,-1.14,-1.0000000000000002
1956,12,-0.89,-0.846666666666667
1957,1,-0.51,-0.5400000000000004
1957,2,-0.22,-0.18333333333333365
1957,3,0.18,0.12333333333333303
1957,4,0.41,0.40333333333333304
1957,5,0.62,0.5533333333333331
1957,6,0.63,0.7066666666666664
1957,7,0.87,0.7799999999999997
1957,8,0.84,0.8099999999999997
1957,9,0.72,0.753333333333333
1957,10,0.7,0.7799999999999997
1957,11,0.92,0.973333333333333
1957,12,1.3,1.333333333333333
1958,1,1.78,1.5233333333333332
1958,2,1.49,1.4166666666666663
1958,3,0.98,0.9766666666666662
1958,4,0.46,0.6066666666666664
1958,5,0.38,0.3666666666666664
1958,6,0.26,0.22333333333333305
1958,7,0.03,0.09333333333333305
1958,8,-0.01,-0.1000000000000003
1958,9,-0.32,-0.2000000000000003
1958,10,-0.27,-0.18000000000000027
1958,11,0.05,-0.06666666666666697
1958,12,0.02,0.19999999999999973
1959,1,0.53,0.3266666666666664
1959,2,0.43,0.3833333333333331
1959,3,0.19,0.22666666666666643
1959,4,0.06,0.006666666666666404
1959,5,-0.23,-0.1733333333333336
1959,6,-0.35,-0.48000000000000026
1959,7,-0.86,-0.6600000000000003
